img,event_label,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Start_LSL.started,Start_LSL.stopped,Baseline.started,Baseline.stopped,Attention.started,BASELINE_code,BASELINE_tGlob,BASELINE_tLSL,ATTENTION_code,ATTENTION_tGlob,ATTENTION_tLSL,attention_cross.started,attention_cross.stopped,Attention.stopped,Stim.started,motor_cue.started,STIM_code,STIM_tGlob,STIM_tLSL,Stim.stopped,Attempt.started,attempt.started,ATTEMPT_code,ATTEMPT_tGlob,ATTEMPT_tLSL,Attempt.stopped,Rest.started,image_2.started,REST_code,REST_tGlob,REST_tLSL,Rest.stopped,attempt.stopped,image_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,28,8,2,2,8,28,1,255.09128290001536,,,,,,255.07373070000904,,,,2,255.09132690000115,522459.0971723,255.09128290001536,,257.08748200000264,257.1185982999741,257.1205866999808,3,257.12060049996944,522461.1264382,258.3372467000154,258.3372761000064,258.3537200000137,5,258.3537302999757,522462.3595676,262.0882437999826,262.0882760999957,262.10439649998443,6,262.1044135999982,522466.1102511,264.0875357000041,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,29,9,2,2,9,29,8,264.10392119997414,,,,,,264.08763540000655,,,,2,264.1039367999765,522468.1097741,264.10392119997414,,266.08733710000524,266.11865459999535,266.1206567999907,4,266.1206668000086,522470.1265038,267.33766149997246,267.3376928999787,267.354138900002,5,267.3541528999922,522471.3599902,271.0872742999927,271.08730140002444,271.1039022000041,6,271.103912200022,522475.1097495,273.0874424999929,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,30,0,3,3,0,30,9,273.10404379997635,,,,,,273.08754119998775,,,,2,273.1040599999833,522477.1098974,273.10404379997635,,275.08770009997534,275.11922230001073,275.120834500005,4,275.12084470002446,522479.1266821,276.337441199983,276.33747109997785,276.3540416000178,5,276.35405229998287,522480.35989,280.08753469999647,280.08756159996847,280.1040955000208,6,280.1041064999881,522484.1099439,282.08783049997874,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,31,1,3,3,1,31,7,282.10417449998204,,,,,,282.0879365999717,,,,2,282.10418949997984,522486.1100268,282.10417449998204,,284.08754610002507,284.1186996999895,284.12096809997456,4,284.1209780999925,522488.1268157,285.3375342999934,285.3375629999791,285.3541549000074,5,285.3541645000223,522489.3600018,289.0879711000016,289.0880005999934,289.1046702999738,6,289.10468699998455,522493.1105245,291.0882484000176,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,32,2,3,3,2,32,1,291.10464540001703,,,,,,291.08834720001323,,,,2,291.1046620999696,522495.1104996,291.10464540001703,,293.08783510001376,293.1181078000227,293.1211470999988,3,293.12115859996993,522497.1269963,294.33795670000836,294.33798860001843,294.35444329999154,5,294.35445440001786,522498.3602915,298.08788319997257,298.08791020000353,298.10460660001263,6,298.10461949999444,522502.1104572,300.08784960000776,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,33,3,3,3,3,33,2,300.1044833000051,,,,,,300.0879467999912,,,,2,300.10449739999603,522504.1103349,300.1044833000051,,302.0880215999787,302.11791749997064,302.1218513000058,3,302.12186199997086,522506.1276995,303.33805989997927,303.3380885000224,303.35468290001154,5,303.3546940999804,522507.3605314,307.0885227000108,307.0885508999927,307.1050894000218,6,307.1051007999922,522511.1109377,309.08856289996766,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,34,4,3,3,4,34,0,309.10510849999264,,,,,,309.08866100001615,,,,2,309.10512809996726,522513.1109658,309.10510849999264,,311.08848759997636,311.11908590001985,311.1235410000081,3,311.12355489999754,522515.1293927,312.33862940000836,312.3386608000146,312.35516669997014,5,312.3551778999972,522516.3610148,316.0886378000141,316.088665999996,316.105230199988,6,316.10524200001964,522520.111079,318.08879810001235,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,35,5,3,3,5,35,8,318.10532400000375,,,,,,318.08890520001296,,,,2,318.10534830001416,522522.111187,318.10532400000375,,320.0890920999809,320.1211818999727,320.14065000001574,4,320.1406691999873,522524.1465075,321.3387029999867,321.33873139997013,321.3552976999781,5,321.35530850000214,522525.3611456,325.0894021000131,325.08943120000185,325.10544169996865,6,325.10545390000334,522529.1112908,327.0888138000155,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,36,6,3,3,6,36,4,327.105432500015,,,,,,327.0889116000035,,,,2,327.1054528999957,522531.1112904,327.105432500015,,329.08887490001507,329.1194779999787,329.12327129999176,3,329.12329050002154,522533.1291284,330.3391253000009,330.339157600014,330.3561165999854,5,330.35613670002203,522534.3619747,334.0890481999959,334.08907749998616,334.1055959999794,6,334.10560989996884,522538.1114476,336.08909490000224,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,37,7,3,3,7,37,5,336.10561839997536,,,,,,336.0891967000207,,,,2,336.1056393000181,522540.1114776,336.10561839997536,,338.08891709998716,338.1200447999872,338.12329070002306,4,338.12330079998355,522542.1291382,339.3390176999965,339.3390454999753,339.35563700000057,5,339.35564790002536,522543.3614852,343.0891234999872,343.08915259997593,343.1057432999951,6,343.10575990000507,522547.111599,345.0892286999733,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\left_arrow.png,LEFT_MI_STIM,38,8,3,3,8,38,3,345.10573120001936,,,,,,345.089332500007,,,,2,345.10574729996733,522549.1115846,345.10573120001936,,347.08910450001713,347.11923700000625,347.123540200002,3,347.1235533999861,522551.1293908,348.33926849998534,348.3392977999756,348.35585100000026,5,348.35586319997674,522552.3617001,352.0892634000047,352.08928989997366,352.10586549999425,6,352.10587640001904,522556.1117133,354.0893233999959,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
D:\Documentos\GitHub\real_time_bci\stims\right_arrow.png,RIGHT_MI_STIM,39,9,3,3,9,39,6,354.1058767000213,,,,,,354.0894259000197,,,,2,354.1058934999746,522558.1117314,354.1058767000213,,356.0894763999968,356.12095959996805,356.1405322999926,4,356.1405480999965,522560.1463854,357.3393453999888,357.339373899973,357.3559563999879,5,357.35596750001423,522561.3618042,361.08940300001996,361.08942969999043,361.1060367000173,6,361.10604769998463,522565.1118849,363.0894739999785,,,054326,001,2025-09-08_16h07.26.147,Graz,,2025.1.1,60.10359455373421,2025-09-08 16h09.18.236708 -0300,
